Відділ,Номер угоди,Лінійка продукту,Стать,Вік,Ціна,Кількість,Податок 6%,Сезон,Загальна сума,Дата,Час,Тип оплати
A,343-41-4295,Фрукти та овочі,Чоловік,33,110.14,8,6.61,Весна,127.76,2023-01-05,20:18:53,Готівкою
A,246-43-3530,Солодощі,Жінка,85,17.45,1,1.05,Весна,20.25,2023-02-10,13:21:37,Електронний гаманець
B,476-46-7999,Солодкі напої,Чоловік,12,168.72,8,10.12,Весна,195.71,2023-02-20,15:21:56,Електронний гаманець
C,742-34-2811,Інструменти,Чоловік,18,1279.35,1,76.76,Весна,1484.04,2023-01-27,18:41:01,Готівкою
A,800-39-5030,Солодощі,Жінка,42,214.76,5,12.89,Весна,249.13,2023-03-20,20:00:25,Оплата карткою
C,538-62-1751,Інструменти,Чоловік,40,2799.41,6,167.96,Весна,3247.31,2023-01-18,17:14:56,Електронний гаманець
C,239-86-7995,Інструменти,Чоловік,62,2476.54,10,148.59,Весна,2872.78,2023-01-25,17:12:18,Готівкою
C,286-78-6686,Інструменти,Жінка,17,235.99,2,14.16,Весна,273.75,2023-02-18,20:16:31,Готівкою
A,105-92-9738,М'ясні продукти,Чоловік,25,387.63,3,23.26,Весна,449.65,2023-03-19,08:23:43,Електронний гаманець
B,109-77-6323,Алкоголь,Чоловік,39,1271.35,4,76.28,Весна,1474.76,2023-03-13,12:06:35,Електронний гаманець
C,218-31-9200,Косметика,Жінка,26,469.06,7,28.14,Весна,544.11,2023-03-18,15:38:48,Готівкою
C,603-42-2947,Інструменти,Чоловік,18,1149.99,10,69.0,Весна,1333.99,2023-01-02,15:13:54,Електронний гаманець
A,132-96-3099,Солодощі,Жінка,42,558.78,9,33.53,Весна,648.19,2023-03-03,19:25:29,Готівкою
A,318-50-2333,Фрукти та овочі,Чоловік,27,326.66,10,19.6,Весна,378.93,2023-02-12,22:26:42,Електронний гаманець
B,753-19-2476,Солодкі напої,Жінка,32,209.5,9,12.57,Весна,243.02,2023-01-17,16:56:26,Оплата карткою
A,189-47-9291,М'ясні продукти,Жінка,15,695.87,6,41.75,Весна,807.21,2023-01-05,12:30:46,Готівкою
B,717-65-2675,Алкоголь,Жінка,23,2058.82,10,123.53,Весна,2388.23,2023-03-27,20:06:48,Електронний гаманець
C,412-19-8978,Інструменти,Чоловік,70,305.55,5,18.33,Весна,354.44,2023-02-11,08:11:38,Готівкою
C,573-81-5927,Косметика,Жінка,25,317.85,3,19.07,Весна,368.71,2023-02-26,22:20:29,Готівкою
B,503-56-4418,Солодкі напої,Жінка,13,54.7,5,3.28,Весна,63.45,2023-03-01,15:53:48,Оплата карткою
A,474-48-3661,Молочні продукти,Жінка,53,272.19,8,16.33,Весна,315.74,2023-03-14,20:15:16,Електронний гаманець
B,516-20-3203,Алкоголь,Чоловік,34,1807.76,10,108.47,Весна,2097.01,2023-01-25,17:32:08,Оплата карткою
A,180-88-8450,Фрукти та овочі,Чоловік,52,232.43,5,13.95,Весна,269.62,2023-01-14,17:32:26,Електронний гаманець
C,524-96-7889,Інструменти,Чоловік,24,591.04,7,35.46,Весна,685.6,2023-02-15,14:33:18,Готівкою
A,238-34-9928,Фрукти та овочі,Чоловік,62,116.57,9,6.99,Весна,135.22,2023-01-26,17:28:37,Електронний гаманець
A,939-87-9228,Молочні продукти,Жінка,46,332.54,9,19.95,Весна,385.74,2023-02-26,21:34:30,Готівкою
A,890-89-7160,Солодощі,Жінка,18,396.81,4,23.81,Весна,460.3,2023-02-24,21:06:08,Електронний гаманець
B,965-18-6635,Алкоголь,Чоловік,37,152.1,1,9.13,Весна,176.44,2023-03-19,12:06:34,Готівкою
A,204-77-1854,Молочні продукти,Чоловік,35,74.79,3,4.49,Весна,86.76,2023-02-11,19:52:04,Оплата карткою
A,965-69-7483,М'ясні продукти,Чоловік,61,788.94,8,47.34,Весна,915.17,2023-02-04,20:39:19,Електронний гаманець
B,972-72-3272,Солодкі напої,Жінка,40,14.46,1,0.87,Весна,16.78,2023-02-05,19:34:58,Готівкою
B,272-99-8944,Солодкі напої,Жінка,28,127.11,4,7.63,Весна,147.45,2023-01-06,12:15:54,Готівкою
B,522-82-1285,Солодкі напої,Чоловік,55,13.13,1,0.79,Весна,15.23,2023-02-28,16:03:31,Оплата карткою
A,432-67-2102,М'ясні продукти,Чоловік,22,1015.7,9,60.94,Весна,1178.21,2023-03-15,14:19:50,Оплата карткою
B,779-65-4261,Солодкі напої,Жінка,31,80.12,3,4.81,Весна,92.94,2023-03-17,14:27:25,Готівкою
C,575-10-8378,Інструменти,Жінка,31,1752.45,6,105.15,Весна,2032.85,2023-03-01,09:17:16,Електронний гаманець
A,128-71-7384,Фрукти та овочі,Чоловік,61,87.0,5,5.22,Весна,100.92,2023-01-26,19:58:02,Готівкою
C,936-19-2692,Інструменти,Чоловік,30,119.46,2,7.17,Весна,138.58,2023-01-13,22:29:07,Оплата карткою
A,505-15-7741,М'ясні продукти,Чоловік,28,1215.95,10,72.96,Весна,1410.51,2023-02-23,13:09:16,Електронний гаманець
A,651-72-2731,Молочні продукти,Чоловік,66,23.7,1,1.42,Весна,27.49,2023-01-23,16:19:29,Готівкою
B,514-22-2939,Солодкі напої,Чоловік,10,91.67,3,5.5,Весна,106.34,2023-02-10,13:42:45,Готівкою
C,320-19-6998,Інструменти,Чоловік,77,169.57,3,10.17,Весна,196.7,2023-02-13,17:38:49,Оплата карткою
A,757-54-3756,Фрукти та овочі,Чоловік,32,9.89,1,0.59,Весна,11.47,2023-02-20,18:36:59,Електронний гаманець
C,589-66-3049,Інструменти,Чоловік,35,2860.87,5,171.65,Весна,3318.61,2023-02-13,22:08:04,Оплата карткою
B,759-76-5321,Солодкі напої,Чоловік,21,44.24,1,2.65,Весна,51.31,2023-01-03,18:32:58,Електронний гаманець
B,458-31-7281,Алкоголь,Чоловік,54,820.33,4,49.22,Весна,951.58,2023-01-17,13:23:55,Оплата карткою
C,711-79-1987,Інструменти,Чоловік,39,533.22,4,31.99,Весна,618.53,2023-02-08,15:54:05,Готівкою
C,502-49-3586,Інструменти,Чоловік,25,759.06,3,45.54,Весна,880.51,2023-03-29,21:33:45,Готівкою
A,264-60-2255,Молочні продукти,Чоловік,60,113.72,5,6.82,Весна,131.91,2023-03-11,15:47:15,Оплата карткою
C,958-72-5679,Косметика,Жінка,21,1603.91,6,96.23,Весна,1860.53,2023-02-25,21:24:00,Електронний гаманець
B,737-67-5374,Алкоголь,Чоловік,87,196.97,2,11.82,Весна,228.49,2023-01-21,13:05:30,Готівкою
B,306-68-1901,Солодкі напої,Чоловік,54,59.95,4,3.6,Весна,69.55,2023-01-28,13:40:50,Готівкою
A,351-86-9885,М'ясні продукти,Жінка,11,613.55,9,36.81,Весна,711.71,2023-01-24,18:32:55,Електронний гаманець
B,424-51-3270,Солодкі напої,Жінка,58,140.69,3,8.44,Весна,163.2,2023-01-12,20:39:13,Готівкою
A,162-12-8258,Фрукти та овочі,Жінка,86,84.76,8,5.09,Весна,98.33,2023-01-18,17:06:06,Готівкою
A,661-53-5691,Солодощі,Жінка,57,688.88,9,41.33,Весна,799.1,2023-01-21,16:16:07,Готівкою
A,695-34-1551,Молочні продукти,Чоловік,19,88.87,2,5.33,Весна,103.09,2023-03-29,12:32:03,Електронний гаманець
B,923-12-4181,Алкоголь,Чоловік,20,69.2,1,4.15,Весна,80.27,2023-01-28,18:24:48,Оплата карткою
C,523-70-7131,Косметика,Жінка,57,89.52,2,5.37,Весна,103.84,2023-02-12,21:42:27,Готівкою
C,669-85-6009,Інструменти,Чоловік,19,2015.37,4,120.92,Весна,2337.83,2023-01-02,18:46:10,Електронний гаманець
A,321-29-8620,Фрукти та овочі,Жінка,63,109.41,7,6.56,Весна,126.91,2023-03-27,12:47:53,Готівкою
B,448-50-7733,Солодкі напої,Жінка,29,164.16,8,9.85,Весна,190.43,2023-03-08,17:01:12,Оплата карткою
C,321-73-4727,Косметика,Жінка,12,728.16,3,43.69,Весна,844.67,2023-03-04,13:32:10,Готівкою
A,538-32-1868,М'ясні продукти,Жінка,57,120.28,3,7.22,Весна,139.53,2023-01-28,14:15:53,Електронний гаманець
C,369-57-1195,Косметика,Чоловік,30,1427.75,5,85.66,Весна,1656.19,2023-01-17,16:21:31,Електронний гаманець
A,983-58-1909,Солодощі,Жінка,14,195.98,5,11.76,Весна,227.34,2023-03-21,09:31:51,Електронний гаманець
C,727-91-6414,Інструменти,Чоловік,81,1411.61,5,84.7,Весна,1637.47,2023-02-17,17:23:44,Готівкою
C,363-67-1050,Інструменти,Чоловік,87,2572.17,9,154.33,Весна,2983.72,2023-02-17,20:52:47,Оплата карткою
A,399-86-7054,Солодощі,Жінка,44,874.1,8,52.45,Весна,1013.96,2023-01-13,19:53:18,Готівкою
A,554-77-8350,Фрукти та овочі,Жінка,73,238.27,6,14.3,Весна,276.4,2023-01-17,14:54:03,Готівкою
A,806-13-6283,М'ясні продукти,Жінка,54,527.85,4,31.67,Весна,612.3,2023-03-09,19:18:36,Оплата карткою
A,384-64-4545,Солодощі,Чоловік,29,675.98,10,40.56,Весна,784.14,2023-01-06,14:22:46,Готівкою
B,309-72-4193,Солодкі напої,Жінка,35,144.76,6,8.69,Весна,167.93,2023-03-01,20:47:11,Оплата карткою
A,964-82-5072,Молочні продукти,Чоловік,56,123.58,3,7.41,Весна,143.35,2023-01-31,14:11:06,Електронний гаманець
A,512-10-7295,М'ясні продукти,Жінка,29,540.32,9,32.42,Весна,626.77,2023-03-20,17:48:29,Електронний гаманець
B,151-38-7862,Солодкі напої,Чоловік,39,234.84,6,14.09,Весна,272.41,2023-02-13,20:25:33,Електронний гаманець
A,762-66-5638,М'ясні продукти,Чоловік,58,229.88,3,13.79,Весна,266.66,2023-02-13,20:48:41,Оплата карткою
A,552-73-5335,Фрукти та овочі,Жінка,69,229.86,10,13.79,Весна,266.64,2023-01-18,18:47:08,Готівкою
A,435-36-6838,Молочні продукти,Жінка,81,94.7,4,5.68,Весна,109.85,2023-01-08,20:56:39,Готівкою
A,930-10-1971,М'ясні продукти,Чоловік,44,185.65,4,11.14,Весна,215.36,2023-03-28,20:30:27,Електронний гаманець
A,905-81-9932,Фрукти та овочі,Жінка,29,11.46,2,0.69,Весна,13.3,2023-02-28,16:57:08,Оплата карткою
A,387-75-9498,Фрукти та овочі,Жінка,81,89.38,3,5.36,Весна,103.68,2023-02-26,22:55:37,Готівкою
A,486-56-8708,Молочні продукти,Жінка,38,105.49,3,6.33,Весна,122.37,2023-01-25,15:09:56,Готівкою
A,130-54-9809,Молочні продукти,Жінка,13,221.3,8,13.28,Весна,256.71,2023-01-15,19:26:23,Готівкою
C,824-26-6755,Інструменти,Чоловік,35,4234.07,10,254.04,Весна,4911.52,2023-03-27,20:10:54,Оплата карткою
A,693-31-8355,Солодощі,Чоловік,59,776.21,2,46.57,Весна,900.4,2023-03-15,12:03:00,Готівкою
A,449-79-9361,Солодощі,Жінка,16,493.33,3,29.6,Весна,572.26,2023-03-01,21:30:30,Готівкою
B,445-30-6730,Алкоголь,Чоловік,60,190.97,2,11.46,Весна,221.53,2023-01-24,13:23:30,Електронний гаманець
C,523-74-2259,Інструменти,Чоловік,54,2163.85,5,129.83,Весна,2510.06,2023-03-05,10:31:37,Готівкою
A,197-69-3743,Фрукти та овочі,Жінка,34,251.4,6,15.08,Весна,291.62,2023-03-16,12:55:44,Електронний гаманець
A,634-59-5527,Фрукти та овочі,Жінка,55,67.38,4,4.04,Весна,78.16,2023-03-04,17:22:55,Оплата карткою
C,289-95-4399,Інструменти,Чоловік,33,1604.34,10,96.26,Весна,1861.03,2023-02-19,17:21:39,Готівкою
B,386-55-2302,Солодкі напої,Чоловік,46,83.56,7,5.01,Весна,96.93,2023-03-29,13:43:39,Електронний гаманець
B,561-80-2192,Алкоголь,Чоловік,30,2051.05,8,123.06,Весна,2379.22,2023-01-08,14:26:56,Електронний гаманець
A,791-14-7193,Фрукти та овочі,Чоловік,38,293.6,10,17.62,Весна,340.58,2023-03-15,12:49:07,Електронний гаманець
C,294-12-4743,Інструменти,Чоловік,13,1591.49,4,95.49,Весна,1846.13,2023-03-15,19:39:06,Готівкою
A,773-77-5711,Солодощі,Жінка,80,422.58,8,25.35,Весна,490.19,2023-01-04,22:14:48,Готівкою
A,695-13-1196,М'ясні продукти,Чоловік,45,228.39,6,13.7,Весна,264.93,2023-02-20,14:22:46,Електронний гаманець
B,898-89-1202,Солодкі напої,Жінка,30,100.06,6,6.0,Весна,116.07,2023-02-02,17:18:31,Готівкою
B,284-15-6054,Солодкі напої,Чоловік,57,181.27,6,10.88,Весна,210.28,2023-01-11,18:50:34,Електронний гаманець
A,612-82-2378,Молочні продукти,Чоловік,25,18.36,1,1.1,Весна,21.3,2023-02-05,16:37:31,Електронний гаманець
A,451-25-4239,Фрукти та овочі,Жінка,45,12.09,1,0.73,Весна,14.03,2023-03-12,19:46:26,Електронний гаманець
C,406-85-5532,Інструменти,Чоловік,17,1009.98,3,60.6,Весна,1171.58,2023-03-30,20:27:11,Готівкою
A,906-36-9610,Фрукти та овочі,Жінка,40,79.41,1,4.76,Весна,92.11,2023-03-02,22:05:30,Оплата карткою
C,864-95-7427,Інструменти,Чоловік,38,1300.3,5,78.02,Весна,1508.35,2023-02-07,12:48:22,Оплата карткою
A,173-64-3686,Солодощі,Чоловік,38,156.11,7,9.37,Весна,181.09,2023-03-18,19:05:41,Оплата карткою
C,169-85-4835,Інструменти,Чоловік,44,1502.77,8,90.17,Весна,1743.22,2023-02-23,16:11:23,Електронний гаманець
A,532-53-5924,Молочні продукти,Жінка,14,21.03,1,1.26,Весна,24.39,2023-03-14,16:52:40,Готівкою
C,619-37-2366,Косметика,Жінка,19,33.19,1,1.99,Весна,38.5,2023-02-15,21:36:31,Готівкою
B,333-69-3925,Солодкі напої,Чоловік,36,252.29,7,15.14,Весна,292.66,2023-03-22,15:38:58,Оплата карткою
A,443-39-8055,Фрукти та овочі,Чоловік,26,18.58,1,1.11,Весна,21.55,2023-02-14,18:44:56,Оплата карткою
A,102-95-5570,Солодощі,Жінка,13,1045.94,10,62.76,Весна,1213.29,2023-02-27,13:01:34,Електронний гаманець
B,219-26-4174,Алкоголь,Чоловік,44,424.84,3,25.49,Весна,492.81,2023-01-23,10:36:14,Оплата карткою
A,868-94-4284,Фрукти та овочі,Жінка,41,109.25,6,6.55,Весна,126.72,2023-03-22,22:40:07,Електронний гаманець
B,711-56-4684,Алкоголь,Чоловік,21,1430.04,9,85.8,Весна,1658.84,2023-01-21,22:33:02,Оплата карткою
B,862-21-1959,Солодкі напої,Жінка,73,77.48,4,4.65,Весна,89.88,2023-01-24,19:14:15,Готівкою
A,918-83-8514,Солодощі,Жінка,49,436.71,7,26.2,Весна,506.58,2023-02-28,15:39:08,Оплата карткою
A,306-75-3894,М'ясні продукти,Чоловік,34,43.08,1,2.58,Весна,49.97,2023-03-20,14:04:13,Електронний гаманець
A,722-57-8516,Молочні продукти,Чоловік,13,330.22,8,19.81,Весна,383.05,2023-02-09,11:15:08,Оплата карткою
B,828-79-7332,Алкоголь,Чоловік,58,1086.34,9,65.18,Весна,1260.15,2023-01-04,14:20:03,Електронний гаманець
C,369-74-8251,Інструменти,Чоловік,19,1305.39,3,78.32,Весна,1514.25,2023-03-05,18:52:36,Електронний гаманець
C,419-92-4089,Косметика,Жінка,28,154.95,4,9.3,Весна,179.75,2023-03-27,21:19:23,Оплата карткою
A,349-11-1651,М'ясні продукти,Жінка,26,531.74,8,31.9,Весна,616.81,2023-01-08,15:11:53,Оплата карткою
B,153-85-8215,Алкоголь,Чоловік,18,40.54,1,2.43,Весна,47.02,2023-01-28,15:21:22,Готівкою
B,732-44-7790,Солодкі напої,Чоловік,11,44.61,1,2.68,Весна,51.75,2023-02-01,08:26:10,Оплата карткою
C,587-20-3177,Інструменти,Чоловік,22,4757.7,10,285.46,Весна,5518.93,2023-01-14,12:31:16,Оплата карткою
A,779-20-2725,Фрукти та овочі,Чоловік,66,73.8,5,4.43,Весна,85.61,2023-01-14,19:37:22,Готівкою
C,527-98-5390,Інструменти,Чоловік,57,107.45,2,6.45,Весна,124.65,2023-01-20,17:55:18,Готівкою
A,722-20-1633,Молочні продукти,Жінка,80,22.15,1,1.33,Весна,25.69,2023-03-03,16:59:51,Оплата карткою
C,870-16-8484,Інструменти,Чоловік,11,1840.29,8,110.42,Весна,2134.74,2023-01-22,19:39:25,Оплата карткою
A,999-74-4312,Фрукти та овочі,Чоловік,87,133.47,8,8.01,Весна,154.83,2023-01-10,13:04:31,Електронний гаманець
A,837-75-5391,М'ясні продукти,Чоловік,34,886.59,6,53.2,Весна,1028.45,2023-01-17,15:18:34,Готівкою
A,754-68-8680,Солодощі,Жінка,52,436.18,4,26.17,Весна,505.97,2023-01-07,21:24:01,Оплата карткою
A,980-84-1734,Фрукти та овочі,Жінка,19,98.72,5,5.92,Весна,114.51,2023-01-24,12:23:21,Оплата карткою
B,931-28-3066,Алкоголь,Чоловік,67,1818.09,8,109.09,Весна,2108.99,2023-02-06,17:38:26,Готівкою
A,239-41-2475,М'ясні продукти,Жінка,16,469.22,2,28.15,Весна,544.29,2023-01-02,21:05:56,Електронний гаманець
B,352-19-9408,Алкоголь,Чоловік,50,285.5,5,17.13,Весна,331.18,2023-02-16,15:04:04,Електронний гаманець
C,579-76-5400,Косметика,Жінка,57,167.61,4,10.06,Весна,194.43,2023-03-22,09:17:31,Готівкою
A,108-77-8139,М'ясні продукти,Жінка,32,832.87,10,49.97,Весна,966.13,2023-03-09,14:49:45,Оплата карткою
B,953-65-4788,Солодкі напої,Жінка,23,54.23,3,3.25,Весна,62.9,2023-02-02,21:39:47,Готівкою
A,628-67-4525,Солодощі,Чоловік,74,633.77,7,38.03,Весна,735.18,2023-03-02,19:14:52,Готівкою
A,519-51-3282,М'ясні продукти,Чоловік,23,140.09,4,8.41,Весна,162.51,2023-03-10,13:57:33,Електронний гаманець
A,257-59-1401,Молочні продукти,Жінка,67,154.78,6,9.29,Весна,179.55,2023-02-04,21:30:40,Готівкою
B,800-54-7220,Солодкі напої,Чоловік,49,24.34,1,1.46,Весна,28.23,2023-01-24,18:48:01,Готівкою
C,421-15-5019,Інструменти,Чоловік,15,1694.44,8,101.67,Весна,1965.55,2023-02-09,21:10:32,Готівкою
A,416-40-9422,Солодощі,Чоловік,17,749.56,7,44.97,Весна,869.49,2023-01-28,14:32:49,Оплата карткою
A,883-68-5980,Молочні продукти,Чоловік,20,111.32,3,6.68,Весна,129.13,2023-02-02,19:25:05,Готівкою
A,416-96-6301,Молочні продукти,Жінка,29,161.7,6,9.7,Весна,187.57,2023-02-17,10:59:35,Електронний гаманець
A,500-51-8526,Молочні продукти,Жінка,25,27.31,1,1.64,Весна,31.68,2023-02-26,22:26:29,Готівкою
C,263-16-3543,Косметика,Жінка,34,32.24,1,1.93,Весна,37.39,2023-01-23,13:07:49,Електронний гаманець
A,772-33-7259,М'ясні продукти,Жінка,17,630.45,5,37.83,Весна,731.33,2023-03-06,12:34:01,Оплата карткою
C,452-30-6722,Інструменти,Чоловік,10,1862.79,4,111.77,Весна,2160.84,2023-02-09,13:40:39,Оплата карткою
C,651-52-6601,Косметика,Жінка,29,3592.46,10,215.55,Весна,4167.26,2023-03-16,19:39:33,Готівкою
A,151-70-7206,Фрукти та овочі,Жінка,87,5.25,1,0.32,Весна,6.1,2023-03-07,21:44:55,Оплата карткою
A,516-99-4994,М'ясні продукти,Жінка,35,344.88,3,20.69,Весна,400.06,2023-01-20,21:30:45,Електронний гаманець
C,830-67-4751,Косметика,Жінка,21,133.37,3,8.0,Весна,154.71,2023-02-20,20:46:08,Електронний гаманець
A,670-47-1972,М'ясні продукти,Чоловік,51,36.85,1,2.21,Весна,42.75,2023-03-30,13:44:02,Оплата карткою
A,623-21-5769,М'ясні продукти,Чоловік,59,664.05,4,39.84,Весна,770.29,2023-01-08,13:45:18,Оплата карткою
A,156-21-8480,М'ясні продукти,Чоловік,50,420.88,8,25.25,Весна,488.22,2023-03-07,14:01:21,Електронний гаманець
A,264-20-2296,Фрукти та овочі,Чоловік,45,194.19,6,11.65,Весна,225.26,2023-02-26,16:04:13,Оплата карткою
C,946-30-2584,Косметика,Жінка,51,1605.42,6,96.33,Весна,1862.29,2023-02-21,14:01:58,Оплата карткою
C,389-44-3297,Інструменти,Чоловік,29,918.44,7,55.11,Весна,1065.39,2023-01-28,15:52:56,Готівкою
B,305-91-1678,Алкоголь,Чоловік,52,1202.64,2,72.16,Весна,1395.06,2023-02-28,12:40:03,Оплата карткою
A,647-41-4742,Молочні продукти,Жінка,35,290.52,9,17.43,Весна,337.0,2023-01-28,20:11:23,Електронний гаманець
A,201-58-6001,М'ясні продукти,Жінка,31,264.31,7,15.86,Весна,306.6,2023-01-21,14:36:12,Готівкою
A,947-16-7852,Солодощі,Жінка,57,197.01,6,11.82,Весна,228.53,2023-01-25,08:55:13,Оплата карткою
C,826-44-9346,Косметика,Жінка,22,468.29,4,28.1,Весна,543.22,2023-02-04,13:10:21,Електронний гаманець
A,877-59-9118,М'ясні продукти,Жінка,78,200.26,1,12.02,Весна,232.31,2023-01-18,17:01:04,Готівкою
B,612-19-5012,Алкоголь,Чоловік,31,1383.86,7,83.03,Весна,1605.28,2023-01-31,18:18:23,Готівкою
A,672-11-1604,Солодощі,Чоловік,36,1194.49,9,71.67,Весна,1385.61,2023-01-17,10:49:57,Електронний гаманець
A,607-92-3064,М'ясні продукти,Жінка,18,867.19,10,52.03,Весна,1005.94,2023-03-23,18:59:22,Готівкою
C,251-24-1004,Косметика,Жінка,18,2006.13,7,120.37,Весна,2327.11,2023-03-24,20:17:32,Електронний гаманець
B,263-43-2710,Солодкі напої,Чоловік,31,64.69,5,3.88,Весна,75.04,2023-03-30,08:47:24,Готівкою
B,545-38-8202,Алкоголь,Чоловік,71,1126.85,6,67.61,Весна,1307.14,2023-01-31,22:59:50,Готівкою
A,636-64-9959,Молочні продукти,Жінка,16,173.89,6,10.43,Весна,201.71,2023-01-14,20:20:18,Електронний гаманець
C,947-67-3290,Косметика,Чоловік,33,440.52,1,26.43,Весна,511.0,2023-02-05,15:21:51,Готівкою
A,933-45-8353,Молочні продукти,Жінка,46,278.37,9,16.7,Весна,322.91,2023-03-02,15:55:19,Оплата карткою
A,747-48-7899,Молочні продукти,Жінка,44,253.34,9,15.2,Весна,293.87,2023-02-06,22:25:41,Готівкою
A,640-64-3283,Фрукти та овочі,Жінка,24,242.68,3,14.56,Весна,281.51,2023-01-27,16:19:18,Оплата карткою
B,112-43-8457,Алкоголь,Чоловік,29,1517.81,3,91.07,Весна,1760.66,2023-02-24,21:51:53,Оплата карткою
B,246-94-5360,Алкоголь,Чоловік,41,744.93,8,44.7,Весна,864.12,2023-01-08,14:57:00,Оплата карткою
A,233-96-8450,М'ясні продукти,Жінка,76,697.12,9,41.83,Весна,808.66,2023-01-30,15:55:19,Готівкою
B,797-49-9305,Солодкі напої,Жінка,12,91.67,5,5.5,Весна,106.34,2023-03-22,20:34:41,Електронний гаманець
B,185-94-1845,Солодкі напої,Чоловік,26,272.22,9,16.33,Весна,315.77,2023-02-15,17:33:39,Готівкою
B,388-34-4555,Алкоголь,Чоловік,50,2012.88,10,120.77,Весна,2334.94,2023-02-04,20:48:45,Оплата карткою
A,772-78-4411,М'ясні продукти,Чоловік,42,1182.62,10,70.96,Весна,1371.84,2023-01-24,16:21:40,Електронний гаманець
A,547-53-3310,Молочні продукти,Чоловік,14,135.95,5,8.16,Весна,157.7,2023-02-28,12:53:48,Оплата карткою
B,656-54-8091,Алкоголь,Чоловік,20,602.41,6,36.14,Весна,698.79,2023-01-07,14:16:31,Електронний гаманець
A,988-52-7845,Солодощі,Чоловік,19,145.18,5,8.71,Весна,168.41,2023-02-11,12:07:21,Оплата карткою
A,581-84-6397,Фрукти та овочі,Жінка,34,28.49,4,1.71,Весна,33.05,2023-03-04,19:40:20,Електронний гаманець
A,607-42-1744,Фрукти та овочі,Чоловік,25,141.64,6,8.5,Весна,164.3,2023-01-08,18:45:29,Електронний гаманець
B,892-80-6911,Солодкі напої,Чоловік,84,139.38,10,8.36,Весна,161.68,2023-01-17,22:09:25,Готівкою
A,671-13-2718,М'ясні продукти,Жінка,34,959.73,9,57.58,Весна,1113.28,2023-01-03,12:33:36,Електронний гаманець
B,535-23-7166,Алкоголь,Чоловік,71,1827.68,10,109.66,Весна,2120.11,2023-03-15,22:44:58,Оплата карткою
B,661-64-5638,Алкоголь,Чоловік,73,925.45,5,55.53,Весна,1073.53,2023-01-29,17:36:34,Готівкою
A,666-37-8597,М'ясні продукти,Жінка,18,371.59,4,22.3,Весна,431.05,2023-02-07,10:15:00,Оплата карткою
A,810-28-6852,Солодощі,Чоловік,23,62.9,3,3.77,Весна,72.96,2023-02-08,19:01:22,Оплата карткою
C,188-99-3128,Косметика,Жінка,29,184.32,3,11.06,Весна,213.81,2023-01-02,20:43:50,Електронний гаманець
A,652-11-3828,Солодощі,Жінка,50,418.09,8,25.09,Весна,484.99,2023-02-15,20:26:02,Електронний гаманець
A,899-42-4072,М'ясні продукти,Жінка,22,665.23,7,39.91,Весна,771.66,2023-01-27,15:17:16,Готівкою
C,363-67-8873,Інструменти,Жінка,20,1474.14,6,88.45,Весна,1710.0,2023-02-23,16:08:33,Електронний гаманець
A,479-48-5710,Молочні продукти,Чоловік,29,40.47,1,2.43,Весна,46.95,2023-01-17,18:29:27,Електронний гаманець
A,146-10-8792,Молочні продукти,Жінка,12,292.17,10,17.53,Весна,338.92,2023-01-23,14:35:46,Електронний гаманець
B,239-52-3222,Алкоголь,Чоловік,46,600.18,2,36.01,Весна,696.21,2023-02-26,10:04:52,Оплата карткою
C,245-15-7621,Косметика,Жінка,27,925.17,5,55.51,Весна,1073.2,2023-03-04,16:24:08,Електронний гаманець
C,316-61-8253,Косметика,Чоловік,32,1640.13,9,98.41,Весна,1902.55,2023-02-21,17:10:59,Оплата карткою
A,883-41-1511,Фрукти та овочі,Жінка,18,194.77,10,11.69,Весна,225.94,2023-01-15,17:44:22,Оплата карткою
A,779-65-3180,Фрукти та овочі,Чоловік,26,116.18,7,6.97,Весна,134.77,2023-02-04,16:01:21,Електронний гаманець
C,986-66-2385,Косметика,Жінка,16,1421.35,4,85.28,Весна,1648.76,2023-02-27,12:27:35,Готівкою
A,198-38-1445,Солодощі,Чоловік,54,716.53,9,42.99,Весна,831.17,2023-01-27,22:09:27,Готівкою
C,406-57-3753,Інструменти,Жінка,24,54.84,1,3.29,Весна,63.61,2023-02-22,18:38:45,Електронний гаманець
C,368-39-9897,Інструменти,Чоловік,39,3391.18,8,203.47,Весна,3933.77,2023-03-02,08:31:14,Готівкою
A,991-12-2566,Фрукти та овочі,Чоловік,79,12.58,2,0.75,Весна,14.59,2023-01-15,21:52:41,Готівкою
B,965-13-1559,Алкоголь,Чоловік,18,354.74,4,21.28,Весна,411.49,2023-03-01,15:21:55,Готівкою
A,670-64-8729,М'ясні продукти,Жінка,58,597.88,5,35.87,Весна,693.54,2023-02-03,11:59:57,Готівкою
B,914-22-3718,Солодкі напої,Жінка,40,185.27,10,11.12,Весна,214.92,2023-01-08,14:43:28,Електронний гаманець
A,668-95-4594,М'ясні продукти,Чоловік,20,581.14,6,34.87,Весна,674.12,2023-01-22,15:49:50,Електронний гаманець
C,280-21-2274,Косметика,Жінка,89,103.82,2,6.23,Весна,120.43,2023-02-24,19:25:30,Електронний гаманець
A,611-45-3218,Солодощі,Жінка,50,146.63,1,8.8,Весна,170.09,2023-02-22,11:55:44,Готівкою
A,474-72-6372,Фрукти та овочі,Жінка,60,41.57,3,2.49,Весна,48.22,2023-03-30,21:20:31,Готівкою
